f	log10_fmin	log10_fmax	log10_A	spectrum
-10.0	-10.0	-9.0	-1.8571428571428572	-4.4083257744990645
-10.0	-10.0	-9.0	-1.2857142857142858	-3.2654686316419212
-10.0	-10.0	-9.0	-0.7142857142857144	-2.1226114887847785
-10.0	-10.0	-9.0	-0.14285714285714324	-0.9797543459276361
-10.0	-10.0	-9.0	0.4285714285714284	0.1631027969295071
-10.0	-10.0	-9.0	1.0	1.3059599397866504
-10.0	-10.0	-8.0	-3.0	-6.680941559115547
-10.0	-10.0	-8.0	-2.428571428571429	-5.538084416258405
-10.0	-10.0	-8.0	-1.8571428571428572	-4.395227273401263
-10.0	-10.0	-8.0	-1.2857142857142858	-3.2523701305441195
-10.0	-10.0	-8.0	-0.7142857142857144	-2.1095129876869767
-10.0	-10.0	-8.0	-0.14285714285714324	-0.9666558448298344
-10.0	-10.0	-8.0	0.4285714285714284	0.17620129802730894
-10.0	-10.0	-8.0	1.0	1.3190584408844521
-10.0	-10.0	-7.0	-3.0	-6.6808982909148895
-10.0	-10.0	-7.0	-2.428571428571429	-5.538041148057747
-10.0	-10.0	-7.0	-1.8571428571428572	-4.395184005200604
-10.0	-10.0	-7.0	-1.2857142857142858	-3.2523268623434607
-10.0	-10.0	-7.0	-0.7142857142857144	-2.109469719486318
-10.0	-10.0	-7.0	-0.14285714285714324	-0.9666125766291758
-10.0	-10.0	-7.0	0.4285714285714284	0.17624456622796753
-10.0	-10.0	-7.0	1.0	1.3191017090851107
-10.0	-10.0	-6.0	-3.0	-6.680898193890314
-10.0	-10.0	-6.0	-2.428571428571429	-5.538041051033171
-10.0	-10.0	-6.0	-1.8571428571428572	-4.395183908176028
-10.0	-10.0	-6.0	-1.2857142857142858	-3.2523267653188848
-10.0	-10.0	-6.0	-0.7142857142857144	-2.109469622461742
-10.0	-10.0	-6.0	-0.14285714285714324	-0.9666124796045996
-10.0	-10.0	-6.0	0.4285714285714284	0.1762446632525436
-10.0	-10.0	-6.0	1.0	1.3191018061096869
-10.0	-10.0	-5.0	-3.0	-6.680898193389941
-10.0	-10.0	-5.0	-2.428571428571429	-5.538041050532799
-10.0	-10.0	-5.0	-1.8571428571428572	-4.395183907675656
-10.0	-10.0	-5.0	-1.2857142857142858	-3.252326764818513
-10.0	-10.0	-5.0	-0.7142857142857144	-2.1094696219613702
-10.0	-10.0	-5.0	-0.14285714285714324	-0.9666124791042279
-10.0	-10.0	-5.0	0.4285714285714284	0.17624466375291536
-10.0	-10.0	-5.0	1.0	1.3191018066100586
-10.0	-9.0	-11.0	-3.0	-300
-10.0	-9.0	-11.0	-2.428571428571429	-300
-10.0	-9.0	-11.0	-1.8571428571428572	-300
-10.0	-9.0	-11.0	-1.2857142857142858	-300
-10.0	-9.0	-11.0	-0.7142857142857144	-300
-10.0	-9.0	-11.0	-0.14285714285714324	-300
-10.0	-9.0	-11.0	0.4285714285714284	-300
-10.0	-9.0	-11.0	1.0	-300
-10.0	-9.0	-10.0	-3.0	-300
-10.0	-9.0	-10.0	-2.428571428571429	-300
-10.0	-9.0	-10.0	-1.8571428571428572	-300
-10.0	-9.0	-10.0	-1.2857142857142858	-300
-10.0	-9.0	-10.0	-0.7142857142857144	-300
-10.0	-9.0	-10.0	-0.14285714285714324	-300
-10.0	-9.0	-10.0	0.4285714285714284	-300
-10.0	-9.0	-10.0	1.0	-300
-10.0	-9.0	-9.0	-3.0	-300
-10.0	-9.0	-9.0	-2.428571428571429	-300
-10.0	-9.0	-9.0	-1.8571428571428572	-300
-10.0	-9.0	-9.0	-1.2857142857142858	-300
-10.0	-9.0	-9.0	-0.7142857142857144	-300
-10.0	-9.0	-9.0	-0.14285714285714324	-300
-10.0	-9.0	-9.0	0.4285714285714284	-300
-10.0	-9.0	-9.0	1.0	-300
-10.0	-9.0	-8.0	-3.0	-8.239933535458768
-10.0	-9.0	-8.0	-2.428571428571429	-7.0970763926016245
