width	log10_fpeak	f	spectrum
0.1	-10.1	-7.7	-25.0
0.1	-10.1	-7.6	-25.0
0.1	-10.1	-7.5	-25.0
0.1	-10.1	-7.4	-25.0
0.1	-10.1	-7.3	-25.0
0.1	-10.1	-7.2	-25.0
0.1	-10.1	-7.1	-25.0
0.1	-10.1	-7.0	-25.0
0.1	-10.1	-6.9	-25.0
0.1	-10.1	-6.8	-25.0
0.1	-10.1	-6.7	-25.0
0.1	-10.1	-6.6	-25.0
0.1	-10.1	-6.5	-25.0
0.1	-10.1	-6.4	-25.0
0.1	-10.1	-6.3	-25.0
0.1	-10.1	-6.2	-25.0
0.1	-10.1	-6.1	-25.0
0.1	-10.1	-6.0	-25.0
0.1	-10.1	-5.9	-25.0
0.1	-10.1	-5.8	-25.0
0.1	-10.1	-5.7	-25.0
0.1	-10.1	-5.6	-25.0
0.1	-10.1	-5.5	-25.0
0.1	-10.1	-5.4	-25.0
0.1	-10.1	-5.3	-25.0
0.1	-10.1	-5.2	-25.0
0.1	-10.1	-5.1	-25.0
0.1	-10.1	-5.0	-25.0
0.1	-10.0	-11.0	-1.4213629759662223
0.1	-10.0	-10.9	-1.2123760871551696
0.1	-10.0	-10.8	-1.0162207652337438
0.1	-10.0	-10.7	-0.8379798422688214
0.1	-10.0	-10.6	-0.6852598303416366
0.1	-10.0	-10.5	-0.5697002364917587
0.1	-10.0	-10.4	-0.5107261116619642
0.1	-10.0	-10.3	-0.5478977996625899
0.1	-10.0	-10.2	-0.7938331785487701
0.1	-10.0	-10.1	-1.5707099599350773
0.1	-10.0	-10.0	-0.13795336856965892
0.1	-10.0	-9.9	-0.0769944965872408
0.1	-10.0	-9.8	-1.6260225503054202
0.1	-10.0	-9.7	-3.136852100067134
0.1	-10.0	-9.6	-6.921413096798043
0.1	-10.0	-9.5	-14.50213427718089
0.1	-10.0	-9.4	-25.0
0.1	-10.0	-9.3	-25.0
0.1	-10.0	-9.2	-25.0
0.1	-10.0	-9.1	-25.0
0.1	-10.0	-9.0	-25.0
0.1	-10.0	-8.9	-25.0
0.1	-10.0	-8.8	-25.0
0.1	-10.0	-8.7	-25.0
0.1	-10.0	-8.6	-25.0
0.1	-10.0	-8.5	-25.0
0.1	-10.0	-8.4	-25.0
0.1	-10.0	-8.3	-25.0
0.1	-10.0	-8.2	-25.0
0.1	-10.0	-8.1	-25.0
0.1	-10.0	-8.0	-25.0
0.1	-10.0	-7.9	-25.0
0.1	-10.0	-7.8	-25.0
0.1	-10.0	-7.7	-25.0
0.1	-10.0	-7.6	-25.0
0.1	-10.0	-7.5	-25.0
0.1	-10.0	-7.4	-25.0
0.1	-10.0	-7.3	-25.0
0.1	-10.0	-7.2	-25.0
0.1	-10.0	-7.1	-25.0
0.1	-10.0	-7.0	-25.0
0.1	-10.0	-6.9	-25.0
0.1	-10.0	-6.8	-25.0
0.1	-10.0	-6.7	-25.0
0.1	-10.0	-6.6	-25.0
0.1	-10.0	-6.5	-25.0
0.1	-10.0	-6.4	-25.0
0.1	-10.0	-6.3	-25.0
0.1	-10.0	-6.2	-25.0
0.1	-10.0	-6.1	-25.0
0.1	-10.0	-6.0	-25.0
0.1	-10.0	-5.9	-25.0
0.1	-10.0	-5.8	-25.0
0.1	-10.0	-5.7	-25.0
0.1	-10.0	-5.6	-25.0
0.1	-10.0	-5.5	-25.0
0.1	-10.0	-5.4	-25.0
0.1	-10.0	-5.3	-25.0
0.1	-10.0	-5.2	-25.0
0.1	-10.0	-5.1	-25.0
0.1	-10.0	-5.0	-25.0
