log10_A	width	log10_fpeak	f	spectrum
1.1	1.5	-9.5	-8.0	-1.2502879937789915
1.1	1.5	-9.5	-7.0	-5.171552181908285
1.1	1.5	-8.0	-10.0	-1.4855045139821046
1.1	1.5	-8.0	-9.0	0.19940071184246896
1.1	1.5	-8.0	-8.0	0.9067999770066536
1.1	1.5	-8.0	-7.0	-0.041896380602634106
1.1	1.5	-6.5	-10.0	-5.056964339447311
1.1	1.5	-6.5	-9.0	-2.5870422821886185
1.1	1.5	-6.5	-8.0	-0.5448334805824381
1.1	1.5	-6.5	-7.0	0.7159744032000467
1.1	1.5	-5.0	-10.0	-10.093779614417365
1.1	1.5	-5.0	-9.0	-6.365054070357519
1.1	1.5	-5.0	-8.0	-3.79098963914878
1.1	1.5	-5.0	-7.0	-1.4855045139821048
1.1	2.0	-11.0	-10.0	0.11878295283621297
1.1	2.0	-11.0	-9.0	-1.5438644045454117
1.1	2.0	-11.0	-8.0	-4.3376198728869495
1.1	2.0	-11.0	-7.0	-8.23594242800837
1.1	2.0	-9.5	-10.0	0.568602284368796
1.1	2.0	-9.5	-9.0	0.5329279063526754
1.1	2.0	-9.5	-8.0	-0.5720901602652065
1.1	2.0	-9.5	-7.0	-2.798693140036905
1.1	2.0	-8.0	-10.0	-1.0352479478275385
1.1	2.0	-8.0	-9.0	0.22688011394964544
1.1	2.0	-8.0	-8.0	0.6781830632250454
1.1	2.0	-8.0	-7.0	0.11878295283621312
1.1	2.0	-6.5	-10.0	-4.040585738808328
1.1	2.0	-6.5	-9.0	-1.9078170402627854
1.1	2.0	-6.5	-8.0	-0.3171651463828296
1.1	2.0	-6.5	-7.0	0.568602284368796
1.1	2.0	-5.0	-10.0	-7.824374868368823
1.1	2.0	-5.0	-9.0	-5.246636326359707
1.1	2.0	-5.0	-8.0	-2.9177574842233516
1.1	2.0	-5.0	-7.0	-1.0352479478275387
1.1	2.5	-11.0	-10.0	0.1250266473379103
1.1	2.5	-11.0	-9.0	-0.9525801785502905
1.1	2.5	-11.0	-8.0	-2.751808434776025
1.1	2.5	-11.0	-7.0	-5.279442880332849
1.1	2.5	-9.5	-10.0	0.4255950512742596
